Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Latitude,Longitude
Angola,AGO,0.180667532,0.179964619,0.274211898,0.733270808,0.236691564,0.261559472,0.194155854,0.186404818,0.179812638,0.200045122,0.15414683,0.131254677,0.108970448,-11.202692,17.873887
Argentina,ARG,0,0,0,1,0,0,0,0,0,0,0,0,0,-38.416097,-63.616672
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,40.143105,47.576927
Bangladesh,BGD,0.343355599,0.333423825,0.424228611,0.407202714,0.358253259,0.355415609,0.360381496,0.161746026,0.109249509,0.033342383,0.026248259,0.025538846,0.007803536,23.684994,90.356331
Bhutan,BTN,0.502518908,0.469017647,0.368513866,0.469017647,0.234508824,0.167506303,0.234508824,0.067002521,0.067002521,0.134005042,0.067002521,0.033501261,0.033501261,27.514162,90.433601
Bolivia (Plurinational State of),BOL,0.907264709,0,0.32991444,0.08247861,0.24743583,0,0,0,0,0,0,0,0,-16.290154,-63.588653
Brazil,BRA,0.590446208,0.345034409,0.22597324,0.250271438,0.242981978,0.296438014,0.255131077,0.22597324,0.162797926,0.206534682,0.184666304,0.167657565,0.155508466,-14.235004,-51.92528
Burundi,BDI,0.149422514,0.090172487,0.104444391,0.091902414,0.148990032,0.167802997,0.093848583,0.036112243,0.12866338,0.255813073,0.57887709,0.482866097,0.489353326,-3.373056,29.918886
Chad,TCD,0.236375706,0.317712852,0.032534858,0.338960106,0.004315849,0.1852495,0.27787425,0.204836813,0.337964141,0.073369426,0.294141679,0.405025788,0.451172169,15.454166,18.732207
Colombia,COL,0.350529792,0.495871413,0.341980285,0.205188171,0.213737678,0.239386199,0.453123878,0.162440635,0.188089157,0.102594085,0.196638664,0.153891128,0.170990142,4.570868,-74.297333
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,1,0,0,0,9.748917,-83.753428
Democratic Republic of the Congo,COD,0.068517961,0.007391979,0.038239277,0.01757372,0.241891859,0.272259389,0.230466276,0.255378667,0.318779104,0.37613802,0.41714929,0.421982507,0.383832075,-0.228021,15.827659
Dominican Republic,DOM,0.128007738,0.36268859,0.234680852,0.256015475,0.341353967,0.341353967,0.213346229,0.36268859,0.234680852,0.298684721,0.320019344,0.213346229,0.170676983,18.735693,-70.162651
Ecuador,ECU,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.831239,-78.183406
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,13.794185,-88.89653
Gabon,GAB,0.661926523,0.555873811,0.374632025,0.227208906,0.153004841,0.115902809,0.078144103,0.070920699,0.051220505,0.064682304,0.059757256,0.024296906,0.0439971,-0.803689,11.609444
Ghana,GHA,0.501597821,0.141002531,0.195120567,0.172701411,0.129341285,0.167281395,0.256629533,0.379565345,0.319370322,0.277406261,0.316906678,0.267633808,0.234456742,7.946527,-1.023194
Haiti,HTI,0.103730031,0.40195387,0.492717647,0.661278947,0.149111919,0.188010681,0.207460062,0.181527554,0.110213158,0.038898762,0,0.019449381,0,18.971187,-72.285215
Kyrgyzstan,KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,41.20438,74.766098
Madagascar,MDG,0.289482818,0.363445434,0.28164572,0.400181832,0.35022033,0.342383232,0.216010022,0.209642379,0.173885618,0.170456888,0.209152561,0.19494782,0.270379891,-18.766947,46.869107
Mali,MLI,0.123176787,0.092547265,0.136021425,0.215559377,0.166650947,0.21160718,0.31518766,0.29345058,0.202056039,0.383857072,0.495012594,0.350428078,0.311894163,17.570692,-3.996166
Mexico,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,23.634501,-102.55278
Nicaragua,NIC,0.300658411,0.150329206,0.601316822,0.52615222,0.075164603,0.450987617,0.075164603,0,0,0,0.075164603,0.075164603,0.150329206,12.865416,-85.207229
Niger,NER,0.147593879,0.280713118,0.32852689,0.266713055,0.158153248,0.244407871,0.136441287,0.161119363,0.291984354,0.256153686,0.466154624,0.332442162,0.335170988,17.607789,8.081666
Panama,PAN,0.179605302,0.179605302,0.359210604,0.718421208,0.359210604,0.179605302,0.179605302,0.179605302,0.179605302,0,0.179605302,0,0,8.537981,-80.782127
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.442503,-58.443832
Peru,PER,0.543526425,0.679408031,0.326115855,0.244586891,0.163057928,0.108705285,0.163057928,0.054352643,0.054352643,0.054352643,0,0,0.054352643,-9.189967,-75.015152
Sao Tome and Principe,STP,0.460547151,0.449668084,0.582030061,0.349943308,0.306427041,0.15412011,0.047142622,0.005439533,0.029010844,0.041703088,0.025384489,0.034450377,0.012692244,0.18636,6.613081
Senegal,SEN,0.276783506,0.328883931,0.266146336,0.347770335,0.330837697,0.344514059,0.364268803,0.420059674,0.160860061,0.124606849,0.120048062,0.102464169,0.140888232,14.497401,-14.452362
