Country,Year,Precipitation
Ethiopia,2001,11280.80009
Ethiopia,2002,10152.8284
Ethiopia,2003,10838.05447
Ethiopia,2004,10705.28676
Ethiopia,2005,11017.72221
Ethiopia,2006,12902.21184
Ethiopia,2007,11488.96662
Ethiopia,2008,10822.84556
Ethiopia,2009,9614.166568
Ethiopia,2010,11906.84794
Ethiopia,2011,11037.79628
Ethiopia,2012,11457.14914
Ethiopia,2013,11878.29357
Ethiopia,2014,12009.59836
Ethiopia,2015,10667.21877
Ethiopia,2016,11747.47216
Ethiopia,2017,11505.96812
Ethiopia,2018,12131.02078
Ethiopia,2019,12095.7443
Congo,2001,43067.01504
Congo,2002,44363.52432
Congo,2003,40921.31898
Congo,2004,41501.51041
Congo,2005,41620.94679
Congo,2006,43501.87638
Congo,2007,44087.61319
Congo,2008,42083.03306
Congo,2009,42829.93829
Congo,2010,43162.95675
Congo,2011,42226.91742
Congo,2012,42452.09376
Congo,2013,41828.12607
Congo,2014,41842.09996
Congo,2015,42560.45923
Congo,2016,42613.13105
Congo,2017,43677.12525
Congo,2018,43595.71691
Congo,2019,43843.65884
Guinea,2001,4667.906476
Guinea,2002,4261.577123
Guinea,2003,4985.628325
Guinea,2004,4024.13969
Guinea,2005,3507.6394
Guinea,2006,4372.389346
Guinea,2007,3651.789325
Guinea,2008,4712.942677
Guinea,2009,4102.221719
Guinea,2010,3941.385259
Guinea,2011,4110.102575
Guinea,2012,4530.545311
Guinea,2013,4555.117907
Guinea,2014,4709.141015
Guinea,2015,4042.090022
Guinea,2016,4717.201785
Guinea,2017,4588.274837
Guinea,2018,3948.484494
Guinea,2019,4568.293512
Tanzania,2001,10627.47505
Tanzania,2002,13166.28549
Tanzania,2003,8983.953011
Tanzania,2004,12260.42435
Tanzania,2005,8447.330074
Tanzania,2006,13802.37369
Tanzania,2007,11206.3659
Tanzania,2008,11443.62016
Tanzania,2009,10997.76101
Tanzania,2010,9809.389263
Tanzania,2011,12774.8355
Tanzania,2012,10753.5757
Tanzania,2013,10991.71816
Tanzania,2014,12264.80492
Tanzania,2015,11985.24927
Tanzania,2016,11806.35431
Tanzania,2017,12206.25972
Tanzania,2018,13047.45534
Tanzania,2019,14412.37642
Malawi,2001,1530.780015
Malawi,2002,1546.688059
Malawi,2003,1489.459999
Malawi,2004,1578.142206
Malawi,2005,1062.486622
Malawi,2006,1689.215681
Malawi,2007,1654.911794
Malawi,2008,1538.308669
Malawi,2009,1520.30562
Malawi,2010,1469.315217
Malawi,2011,1427.556773
Malawi,2012,1402.055376
Malawi,2013,1353.327563
Malawi,2014,1453.719731
Malawi,2015,1323.229514
Malawi,2016,1266.052249
Malawi,2017,1518.895216
Malawi,2018,1442.195364
Malawi,2019,1675.160738
Rwanda,2001,375.2008737
Rwanda,2002,336.4065456
Rwanda,2003,282.2231845
Rwanda,2004,354.3338871
Rwanda,2005,287.020529
Rwanda,2006,353.0852722
Rwanda,2007,320.8452746
Rwanda,2008,330.2500626
Rwanda,2009,304.6165039
Rwanda,2010,351.1804361
Rwanda,2011,392.036411
Rwanda,2012,358.502224
Rwanda,2013,322.8597117
Rwanda,2014,287.2887359
Rwanda,2015,308.02399
Rwanda,2016,312.9802156
Rwanda,2017,315.2393776
Rwanda,2018,360.0123845
Rwanda,2019,362.7734075
Senegal,2001,5.230265367
Senegal,2002,3.34802993
Senegal,2003,3.850052539
Senegal,2004,3.139936421
Senegal,2005,6.555614512
Senegal,2006,4.057688543
Senegal,2007,3.076129405
Senegal,2008,4.656688055
Senegal,2009,6.291134365
Senegal,2010,5.542010489
Senegal,2011,3.326694776
Senegal,2012,5.62712253
Senegal,2013,5.686071381
Senegal,2014,2.252389314
Senegal,2015,5.035070635
Senegal,2016,3.799262563
Senegal,2017,4.055512854
Senegal,2018,2.90832757
Senegal,2019,4.486804261
